ID,NAME,OWNER_NAME,STAGE_NAME,CLOSE_DATE,BOOKING_ARR_C,NON_COMMISSIONABLE_C,FISCAL_YEAR_QUARTER
006PC00000VfNvZYAV,杭州赫格信息技术 Whitzard | CX | NB (1),Janet Cheng,Lost,2026-08-01,1380.0,False,FY2027Q3
006PC00000WkkgYYAR,小呵电动科技（天津）有限公司 Renewal - meetonetrike - August 2026- Resell Auto Renewal  ON,Janet Cheng,08 - Closed,2026-08-01,0.0,True,FY2027Q3
006PC00000XF1qSYAT,Vivosun | EXP | Copilot (25),Janet Cheng,Lost,2026-08-01,15000.000230024214,False,FY2027Q3
0066R00000tDdBXQA0,"Beijing Meican Qiaoda Technology Co., Ltd. Renewal - Monthly- Auto Renewal  ON",Janet Cheng,Lost,2026-08-02,0.0,True,FY2027Q3
006PC00000XgBVYYA3,Siebre Resell | 深圳谱程未来科技 | CX | NB | Pro + Copilot (5),Janet Cheng,Lost,2026-08-03,6930.0,False,FY2027Q3
006PC00000byVrdYAE,Golden Horse | EXP | Suite Ent (+3),Janet Cheng,08 - Closed,2026-08-04,6084.0,False,FY2027Q3
006PC00000NUCWmYAP,小壹智能科技扬州有限公司 Renewal - elspethelp - August 2026- Resell Auto Renewal  ON,Janet Cheng,08 - Closed,2026-08-05,0.0,True,FY2027Q3
006PC00000NCj5mYAD,小壹智能科技扬州有限公司 Renewal - elspethelp - August 2026- Resell Auto Renewal  ON,Janet Cheng,Omitted,2026-08-05,0.0,True,FY2027Q3
006PC00000UjZy1YAF,StarMerx | Service Only | Configuration Optimization Guidance,Janet Cheng,Lost,2026-08-05,0.0,True,FY2027Q3
006PC00000aiWE0YAM,香港芯時科技有限公司 Renewal - baldrelectronicrainpointonline - August 2026-  Auto Renewal  ON,Janet Cheng,08 - Closed,2026-08-05,-7452.0,True,FY2027Q3
006PC00000bpHEPYA2,Partner | JM Resell | 小呵电动科技 | new instance | Suite Pro (+2),Janet Cheng,08 - Closed,2026-08-05,1932.0,False,FY2027Q3
006PC00000NFCObYAP,Dymind 深圳帝迈生物 Renewal - dymind - August 2026- Resell Auto Renewal  ON,Janet Cheng,Omitted,2026-08-06,0.0,True,FY2027Q3
006PC00000cGfR7YAK,Partner | Siebre Resell | 浙江正特集团 Zhejiang Zhengte | Exp | Pro (+1),Janet Cheng,Lost,2026-08-10,966.0,False,FY2027Q3
006PC00000cOuMYYA0,Siebre Resell | Heibaidiao 杭州黑白调科技 | CX | Exp (+1),Janet Cheng,08 - Closed,2026-08-10,966.0,False,FY2027Q3
006PC00000cVm4iYAC,"StarMerx eCommerce Co., Ltd_深圳星商电子商务有限公司 - garvee - Expansion",Janet Cheng,08 - Closed,2026-08-12,12516.0,False,FY2027Q3
006PC00000cYvdvYAC,Yesoul Fitness Limited - yesoulfitness - Expansion,Janet Cheng,08 - Closed,2026-08-13,1200.0,False,FY2027Q3
006PC00000bmROnYAM,上海目荻电子商务 Moody Renewal - hallidayglobal236 - August 2026- Resell Auto Renewal  ON,Janet Cheng,08 - Closed,2026-08-15,0.0,True,FY2027Q3
006PC00000a2RsGYAU,ANYCUBIC_深圳市纵维立方科技有限公司 Renewal - anycubic-60235 - July 2026- Resell Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-08-15,0.0,True,FY2027Q3
006PC00000NZBJVYA5,"Zhejiang Zhengte Co., Ltd. 浙江正特集团 Renewal - soraraoutdoorlivingusa - August 2026- Resell Auto Renewal  ON",Janet Cheng,08 - Closed,2026-08-15,8780.000000000002,False,FY2027Q3
006PC00000J2HdWYAV,"Shenzhen Hongzuo Network Technology Co., Ltd. Renewal - Monthly- Auto Renewal  ON  3",Janet Cheng,Lost,2026-08-16,0.0,True,FY2027Q3
006PC00000NbwvqYAB,深圳市信诚未来科技有限公司 Renewal - sz2k - August 2026- Resell Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-08-16,0.0,True,FY2027Q3
006PC00000ZOLVPYA5,Partner | JM Resell | Bluevua | NB | Suite Pro (10),Janet Cheng,Lost,2026-08-17,9660.0,False,FY2027Q3
006PC00000cDSgYYAW,StarMerx | EXP | Suite Pro (+5),Janet Cheng,Lost,2026-08-17,0.0,False,FY2027Q3
006PC00000YVYWTYA5,Partner | JM Resell | Ryaon 雷鸟创新技术(深圳)有限公司 | CX | NB,Janet Cheng,Lost,2026-08-17,966.0,False,FY2027Q3
006PC00000aOyUXYA0,Partner | JM Resell | Bluevua | EXP | AIA,Janet Cheng,Lost,2026-08-17,4200.0,False,FY2027Q3
006PC00000aqMNvYAM,Thehues 杭州棠棠信息技术 Renewal - Monthly- Auto Renewal  ON  1,Janet Cheng,02 - Confirm Need,2026-08-18,0.0,True,FY2027Q3
006PC00000aiUwxYAE,香港芯時科技有限公司 Renewal - homedepot-63856 - August 2026-  Auto Renewal  ON,Janet Cheng,04 - Demonstrate Value,2026-08-18,0.0,True,FY2027Q3
0066R00000tDdAwQAK,Creative Biolabs Renewal - Monthly- Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-08-21,0.0,True,FY2027Q3
006PC00000JpLCLYA3,Personal Renewal - Monthly- Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-08-22,0.0,True,FY2027Q3
0066R00000uVviEQAS,"StarMerx eCommerce Co., Ltd_深圳星商电子商务有限公司 Renewal - Monthly- Auto Renewal  ON  1",Janet Cheng,02 - Confirm Need,2026-08-23,0.0,True,FY2027Q3
006PC00000DCHe3YAH,Puetz Golf / KITCHENMUH_深圳市贝加尔网络科技 Renewal - Monthly- Auto Renewal  ON  1,Janet Cheng,02 - Confirm Need,2026-08-25,0.0,True,FY2027Q3
006PC00000NvwtJYAR,Morningfast_深圳雷特网络科技有限公司 Renewal - August 2026- Auto Renewal  ON  4,Janet Cheng,02 - Confirm Need,2026-08-25,0.0,True,FY2027Q3
006PC00000ZpYWaYAN,Shanghai Nantang 上海南棠实业有限公司 Renewal - Monthly- Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-08-25,0.0,True,FY2027Q3
006PC00000ZpW3PYAV,"Beijing Meican Qiaoda Technology Co., Ltd. Renewal - Monthly- Auto Renewal  ON  1",Janet Cheng,02 - Confirm Need,2026-08-25,0.0,True,FY2027Q3
006PC00000LnRatYAF,"Sweetnight Furniture Co.,Ltd Sweet Night 广东甜秘密寝具有限公司 Renewal - sweetnightcs - August 2026-  Auto Renewal  ON",Janet Cheng,06 - Contracting,2026-08-26,11480.16,False,FY2027Q3
006PC00000cVgWXYA0,Partner | JM Resell | FULL SCALE FULL SPEED | Exp (170),Janet Cheng,06 - Contracting,2026-08-26,29784.0,False,FY2027Q3
006PC00000PB1s2YAD,深圳市信诚未来科技有限公司 Renewal - iscooterglobal - October 2025-  Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-08-27,0.0,True,FY2027Q3
0066R00000tFywwQAC,Sunthin Lighting Renewal - Monthly- Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-08-28,0.0,True,FY2027Q3
006PC00000SAN9wYAH,"SHENZHEN RETEVIS TECHNOLOGY CO., LTD. Renewal - Monthly- Auto Renewal  ON  7",Janet Cheng,02 - Confirm Need,2026-08-28,0.0,True,FY2027Q3
0066R00000tDLa5QAG,东网电子商务_InfinityDress.com Renewal - Monthly- Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-08-29,0.0,True,FY2027Q3
006PC00000O6shVYAR,FUFUGAGA 浙江天齐国际贸易集团 Renewal - fufugaga - August 2026- Resell Auto Renewal  ON,Janet Cheng,07 - Signed,2026-08-30,0.0,True,FY2027Q3
006PC00000N4yLPYAZ,Tilta 深圳铁头科技 Renewal - Monthly- Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-08-30,0.0,True,FY2027Q3
006PC00000O6RpMYAV,深圳市伟鹏世纪科技有限公司 Renewal - oupes - August 2026- Resell Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-08-30,0.0,True,FY2027Q3
006PC00000bpvQLYAY,Partner | Siebre Resell | DR GROUP COMPANY | Exp | Pro(+1),Janet Cheng,02 - Confirm Need,2026-08-31,966.0,False,FY2027Q3
006PC00000N7KphYAF,DellaHome Renewal - Monthly- Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-08-31,0.0,True,FY2027Q3
006PC00000OELTPYA5,LDROBOT 深圳乐动机器人股份 Renewal - shenzhenldrobotcolimitedhelp - September 2026- Resell Auto Renewal  ON,Janet Cheng,Omitted,2026-09-01,0.0,True,FY2027Q3
006PC00000OBILbYAP,LDROBOT 深圳乐动机器人股份 Renewal - ldrobothelp - September 2026- Resell Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-09-01,0.0,True,FY2027Q3
006PC00000ZBFyrYAH,绿联 | Exp | Suite Pro & Copilot - Add on,Janet Cheng,06 - Contracting,2026-09-01,75798.00128733265,False,FY2027Q3
0066R00000tmG5MQAU,WUBEN_盛祺照明科技有限公司 Renewal - Monthly- Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-09-01,0.0,True,FY2027Q3
006PC00000XoR7eYAF,Partner | Bricom Resell | Willand (Beijing)Technology | Exp (Copilot),Janet Cheng,02 - Confirm Need,2026-09-01,20580.00172155477,False,FY2027Q3
0066R00000tFsARQA0,Wellco Industries Inc. Renewal - Monthly- Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-09-01,0.0,True,FY2027Q3
006PC00000CSDmcYAH,闪闪比邻（深圳）科技有限公司 Renewal - lockinhelp - September 2025-  Auto Renewal  ON,Janet Cheng,02 - Confirm Need,2026-09-01,0.0,True,FY2027Q3
006PC00000WqSp1YAF,"Shenzhen Wonstron Elec. Co., Ltd Renewal - shenzhenchuangshi - May 2026-  Auto Renewal  ON",Janet Cheng,02 - Confirm Need,2026-09-02,0.0,True,FY2027Q3
006PC00000OJaGZYA1,smartex Renewal - September 2026- Auto Renewal  ON  3,Janet Cheng,02 - Confirm Need,2026-09-04,0.0,True,FY2027Q3
